date;from_1;to_1;from_2;to_2;from_3;from_3
2023.10.23;05:27;09:59;22:11;23:59;;
2023.10.24;00:00;02:06;18:32;23:59;;
2023.10.25;00:00;06:09;18:47;21:02;;
2023.10.26;01:18;09:58;22:18;23:59;;
2023.10.27;00:00;04:39;23:35;23:59;;
2023.10.28;00:00;04:03;22:35;23:59;;
2023.10.29;00:00;05:53;23:06;23:59;;
2023.10.30;00:00;01:45;02:45;07:24;23:36;23:59
2023.10.31;00:00;08:42;21:28;23:59;;
2023.11.01;00:00;08:15;23:22;23:59;;
2023.11.02;00:00;08:06;22:47;23:59;;
2023.11.03;00:00;08:32;;;;
2023.11.04;00:44;09:45;;;;
2023.11.05;03:16;11:37;;;;
2023.11.06;03:07;09:19;18:49;23:59;;
2023.11.07;00:00;01:00;;;;
2023.11.08;02:26;08:54;18:26;23:59;;
2023.11.09;00:00;03:38;09:03;10:47;;
2023.11.10;01:25;09:20;;;;
2023.11.11;00:44;10:54;;;;
2023.11.12;05:21;14:42;;;;
2023.11.13;03:58;10:45;20:20;23:59;;
2023.11.14;00:00;04:04;22:22;23:59;;
2023.11.15;00:00;08:44;;;;
2023.11.16;03:03;13:48;;;;
2023.11.17;06:06;07:05;10:56;15:19;;
2023.11.18;01:43;14:47;;;;
2023.11.19;09:37;16:20;23:14;23:59;;
2023.11.20;00:00;00:29;14:07;17:02;20:56;23:59
2023.11.21;00:00;08:14;;;;
2023.11.22;01:30;08:56;20:56;23:59;;
2023.11.23;00:00;01:14;12:55;16:29;;
2023.11.24;01:41;12:14;;;;
2023.11.25;09:22;19:00;;;;
2023.11.26;14:04;23:45;18:00;23:59;;
2023.11.27;00:00;00:21;19:36;23:59;;
2023.11.28;00:00;05:11;20:57;23:59;;
2023.11.29;00:00;05:20;21:00;23:59;;
2023.11.30;00:00;04:30;13:40;16:29;;
2023.12.01;02:34;09:10;23:52;23:59;;
2023.12.02;00:00;09:50;;;;
2023.12.03;03:28;10:42;;;;
2023.12.04;02:43;08:28;16:38;17:03;23:14;23:59
2023.12.05;00:00;09:15;;;;
2023.12.06;01:23;09:47;;;;
2023.12.07;04:01;10:26;15:13;19:12;;
2023.12.08;08:04;13:30;;;;
2023.12.09;05:08;15:36;;;;
2023.12.10;04:34;04:57;09:44;16:22;;
2023.12.11;06:41;08:37;22:06;23:59;;
2023.12.12;00:00;09:12;;;;
2023.12.13;01:36;09:05;;;;
2023.12.14;03:29;13:21;;;;
2023.12.15;08:21;15:33;;;;
2023.12.16;08:12;17:04;;;;
2023.12.17;09:33;17:55;;;;
2023.12.18;00:11;08:13;21:04;23:59;;
2023.12.19;00:00;02:36;20:51;23:59;;
2023.12.20;00:00;06:37;23:27;23:59;;
2023.12.21;00:00;07:10;14:18;21:59;;
2023.12.22;15:14;23:59;;;;
2023.12.23;00:00;01:18;22:00;23:59;;
2023.12.24;00:00;09:41;;;;
2023.12.25;02:13;09:10;;;;
2023.12.26;00:37;10:53;;;;
2023.12.27;06:52;08:20;23:36;23:59;;
2023.12.28;00:00;08:32;;;;
2023.12.29;05:19;11:03;23:29;23:59;;
2023.12.30;00:00;12:01;;;;
2023.12.31;05:38;11:05;;;;
2024.01.01;07:03;13:05;19:21;23:59;;
2024.01.02;00:00;09:33;23:00;23:59;;
2024.01.03;00:00;07:00;;;;
2024.01.04;01:54;10:35;;;;
2024.01.05;01:46;12:41;;;;
2024.01.06;05:30;11:06;19:34;22:59;;
2024.01.07;06:35;07:45;08:45;14:59;;
2024.01.08;04:18;08:43;21:02;23:59;;
2024.01.09;00:00;06:48;;;;
2024.01.10;00:23;09:37;21:52;23:59;;
2024.01.11;00:00;06:46;11:44;13:22;;
2024.01.12;03:55;13:50;;;;
2024.01.13;06:26;14:31;;;;
2024.01.14;06:43;14:32;;;;
2024.01.15;04:26;10:09;21:30;23:59;;
2024.01.16;00:00;07:11;09:58;10:32;22:02;22:31
2024.01.17;03:30;09:29;11:09;13:23;;
2024.01.18;06:29;14:40;;;;
2024.01.19;07:15;15:36;;;;
2024.01.20;07:50;16:54;;;;
2024.01.21;11:14;18:24;;;;
2024.01.22;11:05;19:58;;;;
2024.01.23;18:45;23:59;;;;
2024.01.24;00:00;05:53;19:07;23:59;;
